,Date Notice Provided to Consumers,Dates of Breach,Name of Entity,Individuals Affected,State Reported
597,2017-06-23,2017-02-13,SouthernIllinoisHospitalServices,613 (1 in Indiana),Indiana
598,2017-06-15,2017-04-27,SouthernTide,4315 (32 in Indiana),Indiana
599,2017-07-06,2017-04-10,SparkPayOnlineStore,Unknown (374 in Indiana),Indiana
600,2017-01-12,2016-05-02,"Spiraledge,Inc.",426623 (8431 in Indiana),Indiana
601,2017-07-18,2016-10-12,"SportsMem,Inc.",32461 (617 in Indiana),Indiana
602,2017-09-05,2017-04-03,"SpringInsuranceSolutions,LLC",Unknown (1 in Indiana),Indiana
603,2017-09-08,2017-07-26,SRIInternational,10831 (25 in Indiana),Indiana
604,2017-04-11,2017-03-09,St.LucieCounty,Unknown (1 in Indiana),Indiana
605,2017-02-27,2017-02-09,St.Mary'sHealth,2 (2 in Indiana),Indiana
606,2017-05-01,2017-04-12,St.Mary'sHealth,1 (1 in Indiana),Indiana
607,2017-02-27,2017-01-10,St.VincentDunnHospital,1 (1 in Indiana),Indiana
608,2017-03-07,2017-02-17,"St.VincentKokomoHospital,Inc.",1 (1 in Indiana),Indiana
609,2017-07-21,2016-08-10,StandardInternationalManagementLLC,8155 (29 in Indiana),Indiana
610,2017-07-07,2017-05-17,StarwoodPropertyTrustandStarwoodMortgageCapital,Unknown (1 in Indiana),Indiana
611,2017-10-10,2017-01-02,State o. Indiana,4277 (9 in Indiana),Indiana
612,2017-11-13,2017-07-07,State o. Indiana,387500 (200 in Indiana),Indiana
613,2017-10-24,2017-10-11,State o. Indiana,414 (7 in Indiana),Indiana
614,2017-10-19,2017-03-17,State o. Indiana,618 (3 in Indiana),Indiana
615,2017-10-16,2017-09-26,State o. Indiana,32 (31 in Indiana),Indiana
616,2017-12-15,2015-09-05,State o. Indiana,328 (2 in Indiana),Indiana
617,2017-11-10,2017-04-13,State o. Indiana,Unknown (6 in Indiana),Indiana
618,2017-11-09,2017-06-02,State o. Indiana,3138 (96 in Indiana),Indiana
619,2017-11-15,2017-08-11,State o. Indiana,1376 (13 in Indiana),Indiana
620,2017-12-19,2017-09-28,State o. Indiana,839 (9 in Indiana),Indiana
621,2017-10-11,2017-07-21,State o. Indiana,1658 (24 in Indiana),Indiana
622,2017-10-10,2017-09-10,State o. Indiana,38 (1 in Indiana),Indiana
623,2017-12-04,2017-08-01,State o. Indiana,311 (6 in Indiana),Indiana
624,2017-11-27,2017-10-02,State o. Indiana,1016 (12 in Indiana),Indiana
625,2017-11-08,2016-10-18,State o. Indiana,2267 (23 in Indiana),Indiana
626,2017-12-06,2017-07-02,State o. Indiana,1847 (3 in Indiana),Indiana
627,2017-11-30,2017-08-22,State o. Indiana,143 (1 in Indiana),Indiana
628,2017-09-29,2017-07-25,State o. Indiana,33000 (51 in Indiana),Indiana
629,2017-10-16,2017-10-13,State o. Indiana,1 (1 in Indiana),Indiana
630,2017-10-05,2017-09-04,State o. Indiana,12273 (3 in Indiana),Indiana
631,2017-10-05,2017-08-28,State o. Indiana,555 (2 in Indiana),Indiana
632,2017-10-06,2016-11-12,State o. Indiana,127310 (336 in Indiana),Indiana
633,2017-10-06,2014-04-11,State o. Indiana,1069 (7 in Indiana),Indiana
634,2017-12-01,2017-10-03,State o. Indiana,3284 (2 in Indiana),Indiana
635,2017-12-10,2017-11-14,State o. Indiana,2113 (2113 in Indiana),Indiana
636,2017-11-29,2015-07-01,State o. Indiana,12003 (155 in Indiana),Indiana
637,2017-11-22,2017-11-09,State o. Indiana,87 (1 in Indiana),Indiana
638,2017-11-02,2017-10-05,State o. Indiana,1 (Unknown in Indiana),Indiana
639,2017-11-30,2017-11-28,State o. Indiana,1 (1 in Indiana),Indiana
640,2017-12-14,,State o. Indiana,784 (7 in Indiana),Indiana
641,2017-11-15,2017-08-31,State o. Indiana,22 (20 in Indiana),Indiana
642,2017-12-15,2014-09-20,State o. Indiana,1600000 (82 in Indiana),Indiana
643,2017-12-19,2017-04-20,State o. Indiana,336 (1 in Indiana),Indiana
644,2017-10-31,2017-10-27,State o. Indiana,4 (4 in Indiana),Indiana
645,2017-12-08,2017-06-02,State o. Indiana,1120 (2 in Indiana),Indiana
646,2017-10-12,2017-09-21,State o. Indiana,3 (3 in Indiana),Indiana
647,2017-10-25,2017-08-25,State o. Indiana,1 (1 in Indiana),Indiana
648,2017-10-25,2017-09-28,State o. Indiana,4 (4 in Indiana),Indiana
649,2017-10-09,2017-08-30,State o. Indiana,1 (1 in Indiana),Indiana
650,2017-12-08,,State o. Indiana,23072 (805 in Indiana),Indiana
651,2017-11-13,2017-06-18,State o. Indiana,178498 (2302 in Indiana),Indiana
652,2017-11-13,,State o. Indiana,2225 (1 in Indiana),Indiana
653,2017-09-25,2017-04-24,State o. Indiana,1070 (14 in Indiana),Indiana
654,,2017-08-30,State o. Indiana,9306 (59 in Indiana),Indiana
655,2017-11-30,2017-09-11,State o. Indiana,1146 (10 in Indiana),Indiana
656,2017-10-05,2017-09-06,State o. Indiana,31 (1 in Indiana),Indiana
657,2017-12-06,2017-07-03,State o. Indiana,1012 (1 in Indiana),Indiana
658,2017-11-02,2017-10-03,State o. Indiana,61 (3 in Indiana),Indiana
659,2017-10-31,2017-05-15,State o. Indiana,2100 (10 in Indiana),Indiana
660,2017-10-17,2017-09-27,State o. Indiana,6003 (1 in Indiana),Indiana
661,2017-10-12,2017-03-18,State o. Indiana,24599 (97 in Indiana),Indiana
662,2017-12-01,2017-08-30,State o. Indiana,12833 (41 in Indiana),Indiana
663,2017-11-28,2017-10-17,State o. Indiana,282 (16 in Indiana),Indiana
664,2017-11-08,2017-07-02,State o. Indiana,Unknown (Unknown in Indiana),Indiana
665,,2017-10-28,State o. Indiana,Unknown (Unknown in Indiana),Indiana
666,2017-12-05,2017-08-21,State o. Indiana,1 (1 in Indiana),Indiana
667,2017-10-20,2017-09-05,State o. Indiana,48 (44 in Indiana),Indiana
668,2017-12-14,2016-10-01,State o. Indiana,3389 (78 in Indiana),Indiana
669,2017-09-07,2017-05-29,State o. Indiana,2691 (48 in Indiana),Indiana
670,,2017-09-12,State o. Indiana,2 (2 in Indiana),Indiana
671,2017-12-01,2016-06-15,State o. Indiana,25218 (456 in Indiana),Indiana
672,2017-10-06,2017-07-01,State o. Indiana,6488 (72 in Indiana),Indiana
673,2017-10-06,2017-07-01,State o. Indiana,6488 (72 in Indiana),Indiana
674,2017-12-14,2017-11-27,State o. Indiana,3 (3 in Indiana),Indiana
675,2017-11-07,2017-09-14,State o. Indiana,841 (1 in Indiana),Indiana
676,2017-10-20,2017-08-05,State o. Indiana,415 (1 in Indiana),Indiana
677,2017-12-04,2017-10-19,State o. Indiana,630 (12 in Indiana),Indiana
678,2017-11-07,2017-06-26,State o. Indiana,38427 (18 in Indiana),Indiana
679,2017-09-05,2017-08-17,State o. Indiana,3788 (8 in Indiana),Indiana
680,2017-12-12,2017-07-27,State o. Indiana,14 (7 in Indiana),Indiana
681,2017-12-13,2017-08-08,State o. Indiana,218 (1 in Indiana),Indiana
682,2017-10-24,,State o. Indiana,366 (5 in Indiana),Indiana
683,2017-12-18,2017-06-06,State o. Indiana,1249 (13 in Indiana),Indiana
684,2017-12-15,2017-09-05,State o. Indiana,565 (1 in Indiana),Indiana
685,2017-10-11,2016-08-10,State o. Indiana,224 (1 in Indiana),Indiana
686,2017-11-03,2017-06-27,State o. Indiana,109 (2 in Indiana),Indiana
687,2017-09-01,2017-05-26,State o. Indiana,4314 (5 in Indiana),Indiana
688,2017-10-09,2017-07-26,State o. Indiana,135 (1 in Indiana),Indiana
689,2017-10-20,2017-06-25,State o. Indiana,45 (6 in Indiana),Indiana
690,2017-11-14,2011-05-24,State o. Indiana,572 (93 in Indiana),Indiana
691,2017-11-08,2017-09-19,State o. Indiana,1 (Unknown in Indiana),Indiana
692,2017-10-11,2017-03-01,State o. Indiana,1733 (3 in Indiana),Indiana
693,2017-10-14,2017-10-01,State o. Indiana,59320 (1399 in Indiana),Indiana
694,2017-11-29,2017-09-15,State o. Indiana,173 (86 in Indiana),Indiana
695,2017-10-05,2017-05-27,State o. Indiana,39353 (904 in Indiana),Indiana
696,2017-11-28,2017-09-24,State o. Indiana,32000 (2324 in Indiana),Indiana
697,2017-10-25,2017-07-19,State o. Indiana,661 (80 in Indiana),Indiana
698,2017-12-06,2017-09-07,State o. Indiana,137 (1 in Indiana),Indiana
699,2017-11-01,2017-08-25,State o. Indiana,2010 (34 in Indiana),Indiana
700,2017-09-27,2017-08-18,State o. Indiana,4217 (573 in Indiana),Indiana
701,2017-11-22,2017-09-18,State o. Indiana,362 (2 in Indiana),Indiana
702,2017-10-04,2017-08-22,State o. Indiana,693 (2 in Indiana),Indiana
703,2017-10-31,,State o. Indiana,335 (1 in Indiana),Indiana
704,2017-10-31,2017-06-04,State o. Indiana,24999 (8 in Indiana),Indiana
705,2017-12-15,2017-12-01,State o. Indiana,145 (3 in Indiana),Indiana
706,2017-12-06,2017-06-02,State o. Indiana,3497 (932 in Indiana),Indiana
707,2017-12-04,2017-08-04,State o. Indiana,1389 (2 in Indiana),Indiana
708,2017-10-30,2017-09-21,State o. Indiana,1 (1 in Indiana),Indiana
709,2017-11-13,2016-08-10,State o. Indiana,969 (89 in Indiana),Indiana
710,2017-10-06,2017-04-25,State o. Indiana,41195 (778 in Indiana),Indiana
711,2017-10-13,2017-03-01,State o. Indiana,3532 (1 in Indiana),Indiana
712,2017-10-16,2017-01-01,State o. Indiana,13412 (7 in Indiana),Indiana
713,2017-12-14,2017-10-29,State o. Indiana,103 (2 in Indiana),Indiana
714,2017-10-03,2017-09-07,State o. Indiana,182823 (4172 in Indiana),Indiana
715,2017-12-12,2017-01-10,State o. Indiana,1895 (1 in Indiana),Indiana
716,2017-11-22,2016-10-13,State o. Indiana,>600.00 (>6480 in Indiana),Indiana
717,2017-10-20,2017-05-01,State o. Indiana,1630 (35 in Indiana),Indiana
718,2017-10-19,2017-07-25,State o. Indiana,135 (23 in Indiana),Indiana
719,2017-12-08,2017-09-13,State o. Indiana,4995 (1 in Indiana),Indiana
720,,,State o. Indiana,Unknown (Unknown in Indiana),Indiana
721,2017-10-05,2017-07-21,State o. Indiana,822 (19 in Indiana),Indiana
722,2017-10-23,2017-03-10,State o. Indiana,Unknown (Unknown in Indiana),Indiana
723,2017-11-03,,State o. Indiana,10149 (60 in Indiana),Indiana
724,2017-10-31,,State o. Indiana,954 (2 in Indiana),Indiana
725,2017-12-21,2017-10-05,State of Indiana,24 (5 in Indiana),Indiana
726,2017-02-21,2017-01-03,StateBankofLincoln,5598 (18 in Indiana),Indiana
727,2017-06-21,2016-10-01,StateFarmMutualAutomobileInsuranceCompany,1 (1 in Indiana),Indiana
728,2016-11-23,2016-10-23,StateFarmMutualAutomobileInsuranceCompany,58 (1 in Indiana),Indiana
729,2017-03-02,2015-11-01,StateFarmMutualAutomobileInsuranceCompany,10421 (3 in Indiana),Indiana
730,2017-08-04,2017-02-26,StateIndustrialProducts,294 (1 in Indiana),Indiana
731,2017-08-18,2017-07-17,StateStreetCorporation,693 (6 in Indiana),Indiana
732,2017-07-25,,"SteelTechnology,LLCd/b/aHydroFlask",40942 (261 in Indiana),Indiana
733,2017-07-28,2016-08-10,StoutStreetHospitality,Unknown (46 in Indiana),Indiana
734,2017-02-15,2017-02-07,"stremlinevents,inc.",146 (1 in Indiana),Indiana
735,2017-02-14,2017-01-03,"Stroh,Johnson&CompanyLLP",5000 (8 in Indiana),Indiana
736,2017-05-08,2017-04-18,"SunbeltRentals,Inc.",Unknown (1 in Indiana),Indiana
737,2017-02-24,2016-11-02,SunTrustBank,14616 (19 in Indiana),Indiana
738,2017-03-08,2017-02-13,"SusanD.Jarvis,CPA",316 (1 in Indiana),Indiana
739,2017-07-21,2016-08-10,SydellPartners,6037 (20 in Indiana),Indiana
740,2017-03-02,2017-02-13,SymetraLifeInsuranceCompany,1 (1 in Indiana),Indiana
741,2017-03-02,2017-02-13,SymetraLifeInsuranceCompany,1 (1 in Indiana),Indiana
742,2017-03-09,2017-01-30,"TaconicBiosciences,Inc.",665 (54 in Indiana),Indiana
743,2017-08-28,2016-04-18,TALXCorporation,369 (1 in Indiana),Indiana
744,2017-07-21,2016-04-18,TALXCorporation,3739 (31 in Indiana),Indiana
745,2017-08-15,2016-02-04,TALXCorporation,134 (5 in Indiana),Indiana
746,2017-05-23,2017-01-04,TALXCorporation,40645 (1322 in Indiana),Indiana
747,2017-06-14,2016-05-03,TALXCorporation,206 (3 in Indiana),Indiana
748,2017-04-04,,TALXCorporation,717 (40 in Indiana),Indiana
749,2017-06-02,2016-04-19,TALXCorporation,119 (3 in Indiana),Indiana
750,2017-06-20,2017-05-04,"TampaBaySurgeryCenter,Inc.",25842 (2 in Indiana),Indiana
751,2017-05-09,,"Tatcha,LLC",4300 (36 in Indiana),Indiana
752,2017-06-28,2017-04-17,TaylorUniversity,6 (6 in Indiana),Indiana
753,2017-08-23,2017-04-17,TaylorUniversity,197 (77 in Indiana),Indiana
754,2017-06-22,2017-04-28,TDBank-SecurityBreach,5152 (9 in Indiana),Indiana
755,2017-01-13,,TelcomInsuranceServicesCorp.,25 (1 in Indiana),Indiana
756,2017-02-09,2017-02-01,"Teletrac,Inc.andNavamWirelessNorthAmericaLimited",465 (3 in Indiana),Indiana
757,2017-08-09,2017-06-22,The Prudential Insurance Company of Amer,74 (4 in Indiana),Indiana
758,2017-07-26,2016-12-21,TheAIJ.SchneiderCompany,unknown (unknown in Indiana),Indiana
759,2017-08-28,2016-08-10,TheBicycleHotel&Casino,Unknown (4 in Indiana),Indiana
760,2017-02-10,2016-11-21,TheBoeingCompany,35681 (15 in Indiana),Indiana
761,,2016-09-08,TheBridgewaterClub,Unknown (Unknown in Indiana),Indiana
762,2017-02-09,2017-01-09,TheCalmarkGroup,200 (7 in Indiana),Indiana
763,2017-04-04,,"TheChildren'sPlace,Inc.",Unknown (3 in Indiana),Indiana
764,2017-08-28,2016-08-10,TheDomainHotel,Unknown (2 in Indiana),Indiana
765,2017-06-08,2017-03-19,TheForumforYouthInvestment,643 (4 in Indiana),Indiana
766,2017-08-28,2017-08-10,TheGallivantTimesSquare,Unknown (9 in Indiana),Indiana
767,2017-02-14,2016-11-30,"TheHonestKitchen,Inc.",6750 (106 in Indiana),Indiana
768,2017-09-15,2017-03-24,TheInternationalCouncilofShoppingCenters,12149 (137 in Indiana),Indiana
769,2017-03-03,2016-02-01,"Theisen'sSupply,Inc.",Unknown (69 in Indiana),Indiana
770,2017-08-28,2016-08-10,TheNathanHaleInn&ConferenceCenter,Unknown (2 in Indiana),Indiana
771,2017-04-14,2015-12-26,TheNeimanMarcusGroup,6494 (58 in Indiana),Indiana
772,2017-09-01,2017-01-31,"TheNeurologyFoundation,Inc.",12976 (1 in Indiana),Indiana
773,2017-09-06,2017-07-11,"ThereThinkGroup,Inc.",1860 (62 in Indiana),Indiana
774,2017-09-11,2017-09-01,"ThermoSpasHotTubProducts,Inc.",722 (1 in Indiana),Indiana
775,2017-08-28,2016-08-10,TheRooseveltHotel,Unknown (31 in Indiana),Indiana
776,2017-07-21,2016-08-10,TheSandmanSantaRosa,938 (3 in Indiana),Indiana
777,2016-12-27,2016-07-30,"TheToppsCompany,Inc.",10380 (285 in Indiana),Indiana
778,2017-07-10,2017-06-07,"TheVanguardGroup,Inc.",1 (1 in Indiana),Indiana
779,2017-04-05,2016-03-29,"TheVanguardGroup,Inc.",1 (1 in Indiana),Indiana
780,,,"TheVanguardGroup,Inc.",Unknown (Unknown in Indiana),Indiana
781,2017-08-11,2017-07-19,"TheVanguardGroup,Inc.",1 (1 in Indiana),Indiana
782,2017-08-08,2017-07-06,"TheW.W.WilliamsCompany,LLC",57 (1 in Indiana),Indiana
783,2017-08-11,2017-07-15,TheWareGroup,742 (2 in Indiana),Indiana
784,2017-03-20,2017-02-27,"TICGums,Inc.",268 (1 in Indiana),Indiana
785,2017-04-20,,"TidewaterTransitCompany,Inc.",1952 (2 in Indiana),Indiana
786,2017-08-31,2017-07-18,TimberlandBank,6055 (1 in Indiana),Indiana
787,2017-07-20,2016-08-10,TimeWarnerInc.,1183 (2 in Indiana),Indiana
788,2017-06-19,2017-04-18,TorranceMemorialMedicalCenter,32499 (11 in Indiana),Indiana
789,2017-05-01,2017-04-03,TownofGalveston,84 (84 in Indiana),Indiana
790,2017-03-20,2017-03-07,"ToyotaMaterialHandlingMidwest,Inc.",Unknown (152 in Indiana),Indiana
791,2017-04-28,2017-03-15,"TraditionsManagement,LLC",80 (54 in Indiana),Indiana
792,2017-02-10,2017-01-17,"TransPerfectGlobal,Inc.",4884 (7 in Indiana),Indiana
793,2017-02-23,2017-02-10,TriangleAssociates,152 (1 in Indiana),Indiana
794,2017-03-30,2017-02-16,TriTechSoftwareSystems,863 (3 in Indiana),Indiana
795,2017-05-30,2017-02-18,"TrojanBatterySales,LLC",132 (2 in Indiana),Indiana
796,2017-09-25,,"tronc,inc.",39 (1 in Indiana),Indiana
797,2017-08-14,2017-05-18,TRUEbenefitsLLC,2656 (11 in Indiana),Indiana
798,2017-01-26,2017-01-20,TrueNetCommunications,Unknown (5 in Indiana),Indiana
799,2017-06-30,2017-08-10,TrumpHotelCollection,Unknown (49 in Indiana),Indiana
800,2017-07-14,2016-08-10,"TwoRoadsHospitality,LLC",92467 (808 in Indiana),Indiana
801,2017-03-08,2017-03-01,TylerIndependentSchoolDistrict,4099 (1 in Indiana),Indiana
802,2017-03-13,2017-03-03,"TylerTechnologies,Inc.",7788 (23 in Indiana),Indiana
803,2017-08-02,2017-03-23,U.S.ResidentialGroupLLC,1226 (6 in Indiana),Indiana
804,2017-05-19,2017-03-17,UllicoInc.,47 (1 in Indiana),Indiana
805,2017-02-28,2016-01-13,UnionHospital,1 (1 in Indiana),Indiana
806,2017-02-28,2017-02-14,"Unique-Prescotech,Inc.",228 (112 in Indiana),Indiana
807,2017-07-06,,UnitedAirlines,841 (4 in Indiana),Indiana
808,2017-07-20,2017-05-31,"UnitedBenefitAdvisors,LLC",58 (36 in Indiana),Indiana
809,2017-04-05,2017-03-15,UnitedChurchHomes,2020 (13 in Indiana),Indiana
810,2017-06-27,2017-04-05,UnitedStatesCellularCorporation,1852 (4 in Indiana),Indiana
811,2017-06-15,2016-08-01,UniversalBusinessTeamLLC,679 (15 in Indiana),Indiana
812,2017-05-15,2017-02-16,UniversityofNewMexicoFoundation,23000 (72 in Indiana),Indiana
813,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
814,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
815,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
816,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
817,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
818,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
819,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
820,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
821,,,UnknownRespondent,Unknown (Unknown in Indiana),Indiana
822,2017-03-22,2017-01-22,UrologyAustin,279663 (96 in Indiana),Indiana
823,,,USDepartmentOfLabor,3 (3 in Indiana),Indiana
824,2017-07-21,2017-05-31,"ValueEyecareNetwork,Inc.",115581 (1666 in Indiana),Indiana
825,2017-02-08,2017-01-30,"Vanner,Inc.",Unknown (1 in Indiana),Indiana
826,2017-03-23,2017-01-26,VeoliaNorthAmerica,Unknown (Unknown in Indiana),Indiana
827,2017-02-24,,VeoliaNorthAmerica,Unknown (63 in Indiana),Indiana
828,2017-07-19,2017-08-10,Verizon,225 (2 in Indiana),Indiana
829,2017-03-15,2017-02-21,VertexWireless,Unknown (24 in Indiana),Indiana
830,2017-03-28,2017-02-26,"VHGFourthStreetSF,LLC",280 (2 in Indiana),Indiana
831,2017-04-03,2017-03-30,Viamedia,144 (6 in Indiana),Indiana
832,2017-03-10,2017-02-10,"VillageGreenHoldings,LLC",745 (2 in Indiana),Indiana
833,2017-07-26,,VirginAmerica,3230 (2 in Indiana),Indiana
834,2017-07-21,2016-08-10,"VirginHotelsChicago,LLC",916 (34 in Indiana),Indiana
835,2017-03-27,2016-08-18,VirginiaGiftBrands,4111 (104 in Indiana),Indiana
836,2017-09-05,2017-07-28,VisibleChanges,4172 (2 in Indiana),Indiana
837,2017-03-07,,VisionQuestEyecare,85995 (85628 in Indiana),Indiana
838,2017-02-22,2017-01-30,"ViskaseCompanies,Inc.",590 (2 in Indiana),Indiana
839,2017-03-03,,VTGroup,7359 (12 in Indiana),Indiana
840,2017-03-23,2017-02-08,VTIndustries,1884 (137 in Indiana),Indiana
841,2017-03-15,2017-01-23,"VWSEProductions,LLC",848 (61 in Indiana),Indiana
842,2017-04-19,2017-04-07,"W.FrankHarshaw&Associates,Inc.",298 (49 in Indiana),Indiana
843,2017-09-19,2017-08-23,"W.W.Grainger,Inc.",57992 (530 in Indiana),Indiana
844,2017-06-29,2017-04-01,WalkintheWordMinistry,14417 (572 in Indiana),Indiana
845,,,WarsawCommunitySchools,Unknown (88 in Indiana),Indiana
846,2017-06-09,2017-04-21,WashingtonStateUniversity,1118135 (1601 in Indiana),Indiana
847,2017-05-02,2016-12-02,WashingtonUniversityinSaintLouisSchoolofMedicine,2047 (16 in Indiana),Indiana
848,2017-03-03,2016-02-01,"WeekendsOnly,Inc.",Unknown (631 in Indiana),Indiana
849,2017-05-03,2017-04-10,WesleyanCollege,Unknown (3 in Indiana),Indiana
850,2017-02-13,2016-12-30,WesternGrowersPensionTrust,952 (1 in Indiana),Indiana
851,2017-07-28,2017-05-08,WesternReserveGroup,Unknown (109 in Indiana),Indiana
852,2017-07-28,2017-08-10,WestgateResortsLtd,15975 (138 in Indiana),Indiana
853,2017-03-03,2016-02-01,WestMusicCompany,56335 (1178 in Indiana),Indiana
854,2017-08-29,2017-01-18,WhitesResidentialFamilyServices,1 (1 in Indiana),Indiana
855,2017-07-18,2017-01-29,"Whitinger&Company,LLC",9180 (7886 in Indiana),Indiana
856,2017-04-21,,WildManey&ResnickLLP,5261 (1 in Indiana),Indiana
857,2017-03-31,2016-06-22,"WilliamE.Howe&Co.,CPAs",1831 (2 in Indiana),Indiana
858,2017-07-26,2016-08-10,WoodsideHotelsandResorts,7112 (18 in Indiana),Indiana
859,2017-08-10,2017-06-28,Wooster-AshlandRegionalCouncilofGovernments,23000 (324 in Indiana),Indiana
860,2017-06-06,2017-05-10,"WorldOmniFinancial,Corp.",853 (1 in Indiana),Indiana
861,2017-09-01,2017-04-24,WRJHoldingsLLCdbaClassicFirearms,10228 (266 in Indiana),Indiana
862,2017-09-28,2017-09-26,x,9500 (103 in Indiana),Indiana
863,2017-06-30,2017-06-01,"XtantMedicalHoldings,Inc.",68 (1 in Indiana),Indiana
864,2017-06-09,2017-03-09,Yeo&Yeo,3491 (5 in Indiana),Indiana
865,2017-05-04,2016-12-17,YMCAofCentralKentucky,409 (1 in Indiana),Indiana
866,2017-03-14,2013-12-31,ZestDentalSolutions,4806 (92 in Indiana),Indiana
867,2017-05-30,2017-05-09,ZillowGroup,1912 (1 in Indiana),Indiana
868,2017-08-23,2017-03-15,ZymoResearchCorporation,7454 (77 in Indiana),Indiana
869,2018-11-13,2018-10-10,1800ContactsInc-DataBreach,150 (2 in Indiana),Indiana
870,2018-11-30,2016-06-01,1873349OntarioInc-DataBreach,74548 (114 in Indiana),Indiana
871,2018-02-05,2017-09-21,1stMarinerBank,1500 (6 in Indiana),Indiana
872,2018-09-25,2018-05-09,44North-DataBreach,242 (8 in Indiana),Indiana
873,2018-12-26,2017-12-06,4AsBenefitsonBehalfofEntitiesListedinExhibit1-Data Breach,4711 (109 in Indiana),Indiana
874,2018-06-07,2018-04-03,9WHaloOpCoLPdbaAngelica-DataBreach,201 (2 in Indiana),Indiana
875,2018-01-25,2018-01-24,A.S.K.ServicesInc.,229 (34 in Indiana),Indiana
876,2018-03-02,2018-02-16,ABCBusCompaniesInc,741 (47 in Indiana),Indiana
877,2018-02-13,2017-09-26,Abeles&Hoffman,237 (1 in Indiana),Indiana
878,2018-08-31,2018-05-21,AcademyMortgageCorporation-DataBreach,357 (3 in Indiana),Indiana
879,2018-12-14,2018-10-27,ACECashExpressInc-DataBreach,4360 (5 in Indiana),Indiana
880,2018-02-23,2016-12-13,ACTIVENetwork,207 (8 in Indiana),Indiana
881,2018-10-18,2018-06-14,AdelmanTravelSystemsInc-DataBreach,48 (1 in Indiana),Indiana
882,,,AdjutantGeneralsOfficeofIndiana-DataBreach,Unknown (Unknown in Indiana),Indiana
883,2018-12-06,2018-10-23,AdoptaHighwayMaintenanceCorporation-DataBreach,405 (2 in Indiana),Indiana
884,2018-02-02,2017-04-29,"AdvancedGraphicProducts,Inc.dbaAdvanced-Online",22.182 (10 in Indiana),Indiana
885,2018-10-08,2013-09-01,AdvancedMedicalReviewsLLC-DataBreach,Unknown (1 in Indiana),Indiana
886,2018-06-01,2017-10-01,AdvancedTechnologyGroup-DataBreach,1020 (5 in Indiana),Indiana
887,2018-09-28,2018-07-05,AEIFundManagementInc-DataBreach,833 (9 in Indiana),Indiana
888,2018-01-30,,Aetna,20 (1 in Indiana),Indiana
889,2018-08-17,2018-03-07,AetnaInc-DataBreach,178 (4 in Indiana),Indiana
890,2018-08-27,2018-06-06,AffiliatedServiceProvidersofIndianaInc-DataBreach,25 (21 in Indiana),Indiana
891,2018-09-28,2017-09-08,Aflac-DataBreach,7366 (5 in Indiana),Indiana
892,2018-06-07,2018-01-08,AimbridgeHospitalityHoldingsLLC-DataBreach,77587 (1129 in Indiana),Indiana
893,2018-08-29,2018-08-22,AirCanada-DataBreach,20000 (3 in Indiana),Indiana
894,2018-05-08,2018-01-01,AkinDohertyKlein&FeugePC-DataBreach,334 (1 in Indiana),Indiana
895,2018-05-01,,AlabamaFarmCreditACA-DataBreach,574 (1 in Indiana),Indiana
896,2018-05-04,2017-10-01,AlaskaAirlinesInc-DataBreach,4102 (12 in Indiana),Indiana
897,2018-04-04,2018-03-29,AllStarDriverEducation-DataBreach,37 (4 in Indiana),Indiana
898,2018-04-02,2018-02-14,Allconnect-DataBreach,1854 (2 in Indiana),Indiana
899,2018-01-11,2016-11-23,AltonLane,1208 (4 in Indiana),Indiana
900,2018-04-20,2017-10-15,AmericanEsotericLaboratories-DataBreach,61701 (36 in Indiana),Indiana
901,2018-02-14,2015-11-06,AmericanHospitalityManagement,244 (126 in Indiana),Indiana
902,2018-08-07,2018-06-04,AmericanInstituteofAeronauticsandAstronautics-DataBreach,671 (13 in Indiana),Indiana
903,2018-05-25,2018-03-27,AmericanNationalInsuranceCompany-DataBreach,3790 (69 in Indiana),Indiana
904,2018-04-23,2018-03-08,AmericanSocietyofAnesthesiologists-DataBreach,819 (6 in Indiana),Indiana
905,2018-05-01,,AmeriFirstFinancialCorporation-DataBreach,1 (1 in Indiana),Indiana
906,2018-03-28,,AmeriFirstHomeMortgage-DataBreach,887 (26 in Indiana),Indiana
907,2018-01-17,2017-11-01,AmeripriseFinancialInc-DataBreach,56 (1 in Indiana),Indiana
908,2018-12-12,2018-11-11,AmeripriseFinancialInc-DataBreach,1513 (13 in Indiana),Indiana
909,2018-08-30,,AmeripriseFinancialInc-DataBreach,11 (1 in Indiana),Indiana
910,2018-06-05,,AmeripriseFinancialInc-DataBreach,1 (1 in Indiana),Indiana
911,2018-03-09,2018-02-07,AnchorFundLLC,485 (1 in Indiana),Indiana
912,2018-12-20,2018-12-19,IndianaBureauofMotorVehicles-DataBreach,1 (1 in Indiana),Indiana
913,2018-03-12,2018-03-08,ANEWRealty-DataBreach,1 (1 in Indiana),Indiana
914,2018-03-30,2018-03-01,AngelesEquityPartnersLLC-DataBreach,1 (1 in Indiana),Indiana
