,Data Stolen,Dates of Breach,Details,Name of Entity,Notice Provided to Consumers,Who's Affected,State Reported
36,"Name, address, phone number, email address, account login credentials, employee ID, state ID number, driver’s license number, ITIN number, medical and health insurance information, passport number, date of birth and Social Security number.","July 25-28, 2017","On Tuesday July 25, 2017 Briggs & Stratton discovered a malware attack of the computer systems at their Milwaukee, WI and Munnsville, NY locations. The potentially compromised information included name, address, phone number, email address, account login credentials, employee ID, state ID number, driver’s license number, ITIN number, medical and health insurance information, passport number, date of birth and Social Security number. Upon learning of the incident, Briggs & Stratton immediately notified the FBI, the Department of Homeland Security and the Wisconsin Department of Justice. Briggs & Stratton has hired forensic consultants to eradicate the malware. Additionally, Briggs & Stratton is offering one year of free credit monitoring to all affected individuals. Briggs & Stratton has established a dedicated incident response line at 1-888-396-9514 or visit https://www.basco.com to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Briggs & Stratton,"September 29, 2017",An unknown number of Wisconsin residents who are current or former employees of Briggs & Stratton or health care dependents and insurance beneficiaries of those employees.,Wisconsin
37,"Member names and IDs, provider information, addresses, phone numbers and dates of birth.",Early August,"In early August, two Network Health staff members were identified as the victims of a sophisticated email phishing attack by an unauthorized party which resulted in the potential exposure of their company emails. The potentially exposed information includes member names and IDs, provider information, addresses, phone numbers and dates of birth. Upon discovering the attack, Network Health took prompt action to secure the affected email accounts, to contain the impact and prevent further threats from the intruder. A forensic security expert was engaged to assess the attack and federal law enforcement officials were notified and are investigating the matter. Additionally, Network Health is offering one year of free identity theft protection and monitoring to affected individuals. Network Health has established a dedicated call center at 855-609-5849 to answer any questions regarding the incident. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Network Health,"September 22, 2017","51,232 members of Network Health.",Wisconsin
38,"Names, Social Security numbers, birth dates, addresses, some credit card numbers and the numbers of some driver's licenses.","Between mid-May and July 29th, 2017","On Thursday, September 7th, Equifax discovered a cybersecurity incident that exploited a U.S. website application vulnerability to gain access to certain files. The information accessed primarily includes names, Social Security numbers, birth dates, addresses and, in some instances, driver’s license numbers. In addition, credit card numbers for approximately 209,000 U.S. consumers, and certain dispute documents with personal identifying information for approximately 182,000 U.S. consumers, were accessed. There is no evidence of unauthorized access to core consumer or commercial credit reporting databases. Upon learning of the incident, Equifax hired an independent cybersecurity firm that has been conducting a comprehensive forensic review to determine the scope of the intrusion, including the specific data impacted. Equifax is conducting an ongoing investigation and is working with law enforcement and authorities. Additionally, Equifax is offering free credit monitoring through TrustedID Premier to all U.S. consumers. Consumers can log into www.equifaxsecurity2017.com to determine if their information has been potentially impacted and to sign up for credit file monitoring and identity theft protection. Equifax is working with a leading cybersecurity firm to help prevent this type of incident from happening again. Equifax has established a dedicated call center at 866-447-7559, to assist consumers. The call center is open every day (including weekends) from 7:00 a.m. – 1:00 a.m. Eastern Time. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Equifax,"September 7, 2017",As many as 145.5 million U.S. consumers (updated from 143 million on 10/3/17).,Wisconsin
39,"Name, organization or trust name, Social Security number or Taxpayer Identification number, and custodial bank or brokerage account number.","August 7, 2017","On Monday, August 7, 2017, Fiduciary Management Inc. discovered that the email account of one of their employees was subject to unauthorized access. Compromised information included names, organization or trust’s names, Social Security numbers or Taxpayer Identification numbers, and custodial bank or brokerage account numbers. Upon learning of the incident, Fiduciary Management Inc. immediately terminated the unauthorized access, began an investigation with the assistance of a third party forensic investigator and reported the incident to the police. Fiduciary Management Inc. is reviewing their data security policies, procedures and staff privacy training, as well as identifying potential improvements to existing security to reduce the risk of a similar incident occurring in the future. Additionally, Fiduciary Management Inc. is offering two years of credit monitoring and identity restoration services from Experian. For additional questions, affected consumers should contact President John Brandser at 414- 226-4545.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Fiduciary Management, Inc.","August 17, 2017","966 Wisconsin residents who had accounts with Fiduciary Management, Inc. were potentially impacted.",Wisconsin
40,"Customer name, address, email, telephone number and credit or debit card information.","Between April 2015 and June 23, 2017","On Friday, June 23, 2017, Native Shoes became aware of a potential vulnerability in the security of its website. Native Shoes learned that malware infected the Native Shoes website as early as April 2015 and resided in the website until the system was taken offline on June 23, 2017.The compromised information included customer names, addresses, emails, telephone numbers and credit or debit card information. Upon learning of the incident, Native Shoes immediately took the system offline and hired well-respected forensics firms to conduct a full investigation into what had happened. Native Shoes is conducting a thorough review of its electronic systems, including those not involved in this incident. Additionally, Native Shoes is offering consumers a year of free credit monitoring services. Native Shoes has launched a dedicated website, at https://www.nativeshoes.com/08-08-17/breach-help, and a dedicated telephone hotline, at (866) 685-6159, to answer customers’ questions about this incident. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Native Canada Footwear Ltd.,"August 16, 2017",148 Wisconsin residents who made Visa or MasterCard purchases through the Native Shoes website during the time of the breach.,Wisconsin
41,"Medicare ID numbers (which includes a Social Security number), health plan ID numbers (HCID), Medicare contract numbers, dates of enrollment, and a limited number of last names and birthdates.","April 12, 2017","On April 12, 2017, Anthem’s Medicare insurance coordination services vendor, LaunchPoint learned an employee was likely involved in identity theft-related activities. LaunchPoint found that the employee emailed a file with protected health information (PHI) to his personal email address on July 8, 2016. The personal information that was compromised included Medicare ID numbers, (which includes a Social Security number), health plan ID numbers (HCID), Medicare contract numbers, dates of enrollment and a limited numbers of last names and birthdates. Upon learning of the incident, LaunchPoint terminated the employee, hired a forensic expert to investigate, and is working with law enforcement. The employee is in prison and is under investigation by law enforcement for matters unrelated to the emailed Anthem file. LaunchPoint is also offering affected members two years of credit monitoring and identity theft restoration services with AllClear ID at no cost. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Anthem, Inc./Launchpoint Ventures","July 24, 2017",223 Wisconsin residents who were Medicare beneficiaries that had a Medicare Advantage plan.,Wisconsin
42,"Names, addresses, account information, email addresses, and last four digits of credit card.","May 30, 2017","On May 30th, 2017 Dow Jones & Company discovered that their cloud-based file repository was configured to allow semi-public access to the sensitive personal and financial details of millions of the company’s customers. The exposed data included the names, addresses, account information, email addresses, and last four digits of credit card numbers of millions of subscribers to Dow Jones publications like The Wall Street Journal and Barron's. The details of 1.6 million entries in a suite of databases known as Dow Jones Risk and Compliance, a set of subscription-only corporate intelligence programs used largely by financial institutions for compliance with anti-money laundering regulations, were also exposed.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Dow Jones & Company,"July 16, 2017",An unknown number of Wisconsin residents who were customers of Dow Jones & Company during the time of the breach.,Wisconsin
43,"Customer name, account PIN numbers, and a limited number of cell phone numbers.","June 13, 2017","Verizon recently discovered that an employee of a third party vendor put information into a cloud storage area and incorrectly set the storage to allow external access. The compromised data included customer names, account PIN numbers, and a limited number of cell phone numbers. Verizon confirmed that the only access to the cloud storage area by a person other than Verizon or its vendor was a researcher.Verizon was alerted of the incident on June 13th, and the leak was closed on June 22. Customers are encouraged to update their PIN number, and never use the same PIN twice. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Verizon,"July 12, 2017",An unknown number of Wisconsin residents who had accounts with Verizon during the time of the breach.,Wisconsin
44,Login credentials.,"May 31, 2017","On Wednesday, May 31, 2017 QBE North America was the victim of a phishing attack that targeted employee email accounts. The suspicious activity was reported by one of the victims on June 1, 2017. The compromised information included employee login credentials. An investigation concluded that credentials were obtained from five email accounts, and a successful attempt to access the mailboxes was made from Lagos, Nigeria. QBE is conducting an ongoing investigation and has taken steps to contain the incident and further understand its impact. The employees who accessed the phishing site have been identified and have had their passwords reset. QBE is continuing their efforts to inform and educate users of phishing techniques and train employees on how to properly identify and react to suspicious email behavior. Additional questions or concerns in regards to the data breach may be directed towards Jennifer Vernon, Privacy Official for QBE North America at 608-825-5827. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",QBE North America,"July 5, 2017",3 Wisconsin residents who are current and former employees of QBE North America.,Wisconsin
45,"First name, last name, Social Security number.","May 31, 2017","On Wednesday, May 3, 2017 Community Link, Inc. discovered that an unauthorized party gained access to an employee work email account. An email in the employee’s account contained a limited number of members’ information, including member names, social security numbers, and member identification numbers, which are social security numbers. Upon learning of the incident, Community Link immediately locked down the email account and began an investigation. Community Link is offering one free year of Experian’s ProtectMyId Alert. Community Link is implementing additional security measures for the access of email accounts, use of mobile devices, additional password protection and training for staff on privacy and security policies and procedures. For additional questions or concerns in regards to the data breach, please contact 1-855-878-8555 between 8:00am and 5:00pm Central time Monday through Friday. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Community Link, Inc.","June 30, 2017","5,500 Wisconsin residents who were members of Community Link, Inc. during the time of the breach.",Wisconsin
46,"Username and password, Social Security number, name, address and cellular telephone number.",April 2017,"U.S. Cellular recently discovered unusual activity on their My account login system. The attack indicated that hackers obtained user names and passwords from a third-party source to access U.S. Cellular accounts. Compromised information included user name and password, Social Security number, name, address and cellular telephone number. Upon learning of the incident, U.S. Cellular expired current passwords and disabled accounts of former customers. U.S. Cellular also introduced additional technical control to protect My account from unauthorized access. Additionally, U.S. Cellular reported the incident to law enforcement as well as certain state agencies. Finally, U.S. Cellular is offering 12 months of free credit monitoring services through Equifax Credit Watch Gold. Contact the customer service department of U.S. Cellular at 1-888-944-9400 to change your PIN. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",U.S. Cellular,"June 22, 2017",An unknown number of Wisconsin residents who had accounts with U.S. Cellular during the time of the breach.,Wisconsin
47,Username and password,"May 26, 2017","Bed Bath & Beyond recently discovered suspicious website activity. An unauthorized individual was attempting to login into Bed Bath & Beyond accounts by guessing commonly used passwords or by obtaining usernames and passwords from another source. The compromised information included usernames and passwords of online account holders. Upon learning of the incident, Bed Bath & Beyond promptly investigated the suspicious activity. Bed Bath & Beyond then blocked the source of the unauthorized logins from any future access. For additional protection, Bed Bath & Beyond also locked all affected accounts, disabled passwords and will require new passwords for future account access. For more information about this incident, or for additional questions or concerns about this incident, affected consumers may contact Bed Bath & Beyond at 1-844-268-5469. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Bed Bath & Beyond,"June 18, 2017",Potentially 35 Wisconsin residents who have online accounts with Bed Bath & Beyond.,Wisconsin
48,Email addresses and passwords.,Prior to June 2013,"Allrecipes.com recently determined that the email address and password typed into allrecipes.com by members when they created or logged into their accounts prior to June 2013 may have been intercepted by an unauthorized third party. The compromised information included email addresses and allrecipes.com passwords created prior to June 2013. Allrecipes.com recommends that all members who registered or logged into allrecipes.com prior to June 2013 promptly change their password. Allrecipes.com is taking other steps as well and will continue to work diligently to deter unauthorized activity. For additional questions about this matter, consumers may visit the website at http://allrecipes.com/. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Allrecipes.com,"May 25, 2017",An unknown number of Wisconsin residents who were registered members of Allrecipes.com during the time of the breach.,Wisconsin
49,Patient's name; address; date of birth; date of service; provider's name; reason for visit; medical history and conditions; medications; diagnostic results; and/or social history.,"March 16, 2017","On Tuesday March 28, 2017, UW Health became aware that patient information was compromised after an employee's email account was used by an unauthorized user. The compromised information included patient’s name, address, date of birth, date of service, provider’s name, reason for visit, medical history and conditions, medications; diagnostic results and/or social history. UW Health says patients’ medical records, Social Security numbers, credit card numbers, health insurance numbers, or other financial information were not included in the emails. Upon learning of the incident, UW Health says they immediately started an investigation and disabled the account and password. UW Health has established a call center to answer questions. If you feel you may be impacted and did not get a letter by June 8, or have questions about this incident call 1-888-742-9174 Monday through Friday between 1 a.m. and 8 p.m. Central Time. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",UW Health,"May 25, 2017","2,036 Wisconsin residents who were patients of UW Health.",Wisconsin
50,"Names, addresses, last four digits of the Social Security numbers, account numbers, IRA contributions for 2016, and Fair Market Value of the IRA.","May 15, 2017","On Monday, May 15, 2017, BMO Harris Bank discovered an error in the production of 2016 IRS Form 5498 for BMO Harris Bank IRA accounts through which some customers received their own Form 5498 along with another customer’s Form 5498, while other customers did not receive any form. The compromised information included name, address, the last four digits of the Social Security number, account number, IRA contributions for 2016, and Fair Market Value of the IRA as of December 31, 2016. Upon learning of the incident, BMO Harris has made every effort to ensure forms received in error were destroyed or returned to the Bank, and customers who did not receive their form will receive it by mail no later than May 31, 2017. Additionally, BMO Harris is offering one free year of identity theft protection and credit monitoring to impacted customers. For more information about this incident, or for additional questions or concerns, affected consumers may contact BMO Harris Bank directly at (202) 257-2762 or phank@ballardspahr.com. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",BMO Harris Bank,"May 24, 2017","13,581 Wisconsin residents who had accounts with BMO Harris Bank during the time of the breach.",Wisconsin
51,User email accounts; shared files; names; addresses; account numbers; driver's license numbers; and Social Security numbers.,"March 7, 2017","On March 7, 2017 Capital First Trust detected suspicious activity related to Capital First's online accounts. Capital First began an internal investigation and on April 7, 2017, and confirmed that an unauthorized user had gained access to Capital First user accounts. Compromised information included email accounts, shared files, names, addresses, account numbers, driver's license numbers, and Social Security numbers. Upon learning of the incident, Capital First began working with a computer forensics company to further enhance security, including adding new, stronger password and encryption measures to its systems. Capital First will offer 12 months of credit monitoring and identity theft protection through Kroll to its clients at no cost. Capital First remains dedicated to protecting the sensitive information of its systems. For questions or additional information, please do not hesitate to contact MVentrone@ThompsonCoburn.com or (312) 580-2219. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Capital First Trust Company,"May 15, 2017",16 Wisconsin residents who had online accounts with Capital First Trust Company.,Wisconsin
52,"Cardholder's name, addresss, card number, expiration data and CVV.","Between December 20, 2016 and March 3, 2017","On Thursday, February 22, 2017 Kuru discovered that they were the victim of a sophisticated cyber-attack that resulted in the potential compromise of customer debit and credit card data used at www.kurufootwear.com. The compromised information included cardholder’s name, address, card number, expiration date and CVV. Upon learning of the incident, Kuru immediately began to work with third-party forensic experts to investigate and implement procedure to further protect customer credit and debit card information. Kuru removed the malware to prevent additional unauthorized access. The FBI is conducting an ongoing investigation, and Kuru continues to work with third-party forensic investigators as well as law enforcement to ensure the security of their systems. At this time consumers can safely use their payment cards on the website. Kuru has established a dedicated assistance line at 888-738-0532 to answer any additional questions about the incident. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Kuru,"May 15, 2017",An unknown number of Wisconsin residents who made a purchase at Kuru’s online website during the time of the breach.,Wisconsin
53,"Payment card data including name, payment card account number, card expiration data, and card verification code.","Between April 4, 2016 and March 1, 2017","Brooks Brothers was recently alerted that an unauthorized individual was able to gain access to and install malicious software designed to capture payment card information on some of their payment processing systems at retail and outlet locations. The compromised information included name, payment card account number, card expiration date, and card verification code. The incident did not affect Social Security numbers, customer addresses, or any other sensitive personal information. Upon learning of the incident, Brooks Brothers took immediate action including initiating an internal review, engaging independent forensic experts to assist in the investigation, remediation of their systems and alerting law enforcement. Brooks Brothers continues to review and enhance their security measures and confirms that this issue has been resolved and is no longer impacting transactions. For more information about this incident, or for additional questions or concerns about this incident, affected consumers may contact Brooks Brothers directly at 888-735-5927. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Brooks Brothers,"May 12, 2017","An unknown number of Wisconsin residents were affected by the breach. Three Brooks Brothers locations were affected in Wisconsin. They are located in Glendale, Pleasant Prairie, and Oshkosh.",Wisconsin
54,Credit and debit card data.,"Between March 24th, 2017 and April 18th, 2017","Chipotle recently detected unauthorized activity on their network that supports payment processing for purchases made in Chipotle restaurants. Potentially compromised personal information includes credit and debit card numbers. Upon learning of the incident, Chipotle immediately began an investigation with the help of leading cyber security firms, law enforcement, and their payment processor. Chipotle has taken steps to stop the unauthorized activity, and has implemented additional security enhancements. Chipotle is conducting an ongoing investigation, and will provide further notification to any affected customers as they obtain clarity about the specific timeframes and restaurant locations that may have been affected.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Chipotle,"April 25, 2017",An unknown number of Wisconsin residents who made a purchase with their debit or credit card at a Chipotle restaurant during the time of the breach.,Wisconsin
55,Payment card data.,"March 31, 2016 - December 9, 2016","From March 31, 2016, through December 9, 2016, there was illegal and unauthorized access to customer account information. An unauthorized individual may have used the Internet to gain access to customer payment card data. No CVV information associated with payment cards was accessed. Upon initial discovery of the breach, the Payless Décor LLC platform provider immediately disabled the ability of the altered code to capture payment card and other data, quarantined malicious files it discovered, created alerts to detect and block traffic from suspicious IP addresses and changed administrative passwords. Payless Décor LLC is implementing additional internal controls and safeguards to prevent a recurrence of such an attack. For further information and assistance, consumers may contact Seth Roseman or Jennifer Lord at 800-925-4635 at Payless Décor LLC.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Payless Décor LLC,"April 10, 2017",122 Wisconsin residents who had customer accounts with Payless Décor LLC.,Wisconsin
56,"Customer card number, expiration date, name, address and card verification value (CVV).",Mid-September 2016 - February 2017,"GameStop recently received notification from a third party that it believed payment card data from cards used on the GameStop.com website was being offered for sale on a website. The compromised personal information may include customer card numbers, expiration dates, names, addresses and card verification values (CVV). Upon initial discovery of the breach, GameStop hired a leading security firm to investigate. GameStop has and will continue to work non-stop to address the data breach and take appropriate measures to eradicate any issue that may be identified. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",GameStop,"April 7, 2017",An unknown number of Wisconsin residents who made a purchase with a payment card on the GameStop.com website during the time of the breach.,Wisconsin
57,"W-2 information including name, address, Social Security number and earnings information for 2016.","March 28, 2017","On Tuesday, March 28, 2017 Toole Design Group LLC was the target of a phishing email scam, which asked an employee to forward 2016 W-2 information to a fraudulent email address. The compromised information included employees’ names, addresses, Social Security numbers and earning information for 2016. Upon learning of the incident, Toole Design Group LLC took all of the necessary steps to address the incident and to prevent it from happening again. Toole Design Group LLC is offering a 36-month membership to EXPERIAN IDENTITYWORKS for all affected employees. If employees have any additional questions, they may contact Eric, RJ or Jennifer Toole at 301-927-1900, or by email. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Toole Design Group LLC,"March 29, 2017",8 Wisconsin residents who are current and former employees of Toole Design Group LLC and received a W-2 for 2016.,Wisconsin
58,"Patient first and last name, procedure codes, dates of service, patient account number or patient control number, provider identification number and Social Security number in some cases.","November 28, 2016","On Tuesday, January 10, 2017, Metropolitan Urology Group was made aware that a ransomware attack that occurred on November 28, 2016 exposed certain patient health information to the hackers who infected two servers with the ransomware virus. The compromised information included patient first and last name, procedure codes, dates of service, patient account number or patient control number, provider identification number and less than five patients also had their social security numbers exposed. Metropolitan Urology Group has been working with a premier, international information technology firm to remove the ransomware virus and is taking steps to ensure that such attacks never occur again. Information technology vendor, Digicorp, will be working with Metropolitan Urology Group to provide training on information security. Metropolitan Urology Group has established a hotline for patients to call,1-844-856-0331 between 9 am and 9 pm, Monday through Friday, Eastern Standard Time, to answer additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Metropolitan Urology Group,"March 10, 2017",An unknown number of Wisconsin residents who were patients of Metropolitan Urology Group between 2003 and 2010.,Wisconsin
59,"Customer name, address, phone number, email address, payment card number, expiration date and security code (CVV), username and website account password.","December 14, 2016 to February 6, 2017","On Tuesday, February 6, 2017 prAna detected that an unauthorized third party may have obtained access to the servers that operate its e-commerce website, www.prana.com. An unauthorized third party installed code that was designed to capture information as it was being entered on the site during the checkout process between December 14, 2016 and February 6, 2017. The compromised information included customer name, address, phone number, email address, payment card number, expiration date and security code (CVV), username and account password for the website. Upon learning of the incident, prAna quickly began an investigation and hired a leading cybersecurity firm to investigate and remediate the website. PrAna also notified the FBI who is conducting an ongoing investigation. PrAna is requiring users to change their account passwords, and continues to strengthen the security of its e-commerce website. PrAna has established a toll free number to contact at 1-844-685-5625, Monday through Friday from 9am to 9pm for additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",prAna,"March 8, 2017","7,569 Wisconsin residents who used prAna’s e-commerce website between December 14, 2016 and February 6, 2017.",Wisconsin
60,2016 W-2 information.,"February 13, 2017","On Monday, February 13, 2017 an employee of QualiChem Inc. fell victim to a fraudulent email phishing scheme requesting W-2 wage information. The QualiChem employee sent the W-2 information of QualiChem’s approximately 84 employees. QualiChem did not learn of the incident until March 6, 2017 when fraudulent tax returns were filed. Upon learning of the incident, QualiChem Inc. immediately took steps to notify law enforcement and the IRS. QualiChem Inc. is planning to work with the FBI to bring the perpetrators to justice. If employees have any additional questions or need assistance, they may contact Buddy Hill, QualiChem CFO at 540-375-6700 x 1027 or email jhill@qualichem.com. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",QualiChem Inc.,"March 7, 2017",1 Wisconsin resident who is an employee of QualiChem Inc. and received a W-2 for 2016.,Wisconsin
61,"User names, email addresses, telephone numbers and dates of birth.",August 2014,"On March 14, 2017 Wishbone became aware that unknown individuals may have had access to an API without authorization and were able to obtain account information of its users. The information involved in the incident included Wishbone users’ user names, email addresses, and telephone numbers, and in certain cases, dates of birth. However, no passwords, user communications or financial account information were compromised in the incident. Upon learning of the incident, Wishbone immediately acted to investigate and initiate precautionary measures. Although no passwords were compromised in the incident, users may wish to consider changing their password as a preventative measure. Affected users may contact info@getwishboneapp.com with additional questions. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.","Science Mobile LLC, DBA the Wishbone App","March 14, 2017",46 Wisconsin residents who have accounts with the Wishbone app.,Wisconsin
62,"W-2 information including name, address, Social Security number and current earnings.","February 9, 2017","On Thursday, February 9, 2017 Dairy Management Inc. was the target of a data breach involving employees’ W-2 information. Compromised information included employees’ names, addresses, Social Security numbers and current earnings.The breach was discovered when two employees attempted to electronically file their 2016 tax returns, and they were rejected by the IRS. Upon learning of the incident, Dairy Management Inc. immediately reported the breach to the police, ADP their bank and the IRS. Dairy Management Inc. will provide a credit monitoring service for each affected employee. If employees have any additional questions, they may contact Bob Stone at bob.stone@dairy.org or 847-627-3231, or Bill Cusick at bill.cusick@dairy.org or call 847-627-3267. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Dairy Management Inc.,"March 7, 2017",3 Wisconsin residents who are current and former employees of Dairy Management Inc. and received a W-2 for 2016.,Wisconsin
63,"Name, Social Security number, John Deere financial account number and balance information.","January 24, 2017","On January 24, 2017 an incident occurred in which John Deere Financial sent a misdirected email that included the personal information of clients. The compromised personal information included names, Social Security numbers, John Deere financial account numbers and balance information. John Deere is confident that no bank account information was disclosed and there is no evidence to suggest that the personal information was misused.Upon learning of the incident, John Deere Financial immediately identified and notified the three unintended recipients to request that the information be destroyed. John Deere is conducting an ongoing investigation. Any further questions related to the data breach incident may be directed to Aaron E. Swenson, Division Manager, Privacy at (608) 821-2266. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",John Deere Financial,"February 23, 2017",2 Wisconsin residents with John Deere financial accounts.,Wisconsin
64,"W-2 information including name, address, Social Security number and wage information.","February 3, 2017","On Friday, February 3, 2017 InterMountain Management LLC was the victim of an email spoofing attack by an individual pretending to be the owner of the company. A request was made for all 2016 W-2 forms prepared by InterMountain. The compromised information included employee’s names, addresses, Social Security numbers and wage information.Upon learning of the incident, InterMountain Management LLC coordinated with the IRS and state tax authorities to better monitor for tax-related fraud against individuals impacted by this event. InterMountain Management LLC has arranged to provide AllClear ID identity protection services for 24 months free of cost to all affected employees. If employees have any additional questions, they may contact the assistance line at 1-855-725-5775 (toll free), Monday through Saturday, 9:00 a.m. to 9:00 p.m. ET. If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",InterMountain Management LLC,"February 21, 2017",124 Wisconsin residents who are current and former employees of InterMountain Management LLC and received a W-2 for 2016.,Wisconsin
65,"Encryption keys, cookies, passwords, private messages and other sensitive data.","Between September 22, 2016 and February 18, 2017","On February 17, 2017, Cloudflare -- a company that provides a content delivery network used by more than 5.5 million websites, along with Internet security services and distributed domain name server services -- accidentally leaked customers' personal and sensitive information for several months. An error in Cloudflare’s code caused user data including encryption keys, cookies, passwords and private messages, from millions of affected domains to be randomly inserted into other public webpages.Upon discovering the breach, an international team of engineers was able to stop the bug in Cloudflare’s code in less than 7 hours. Cloudflare disabled several new features that caused the problem to occur, but it took about a week for its team to fully fix the issue and then announce the breach to the public.If you feel you are a victim of identity theft as a result of this breach, contact the Bureau of Consumer Protection at (800) 422-7128 or email us at DATCPWisconsinPrivacy@Wisconsin.gov.",Cloudflare,"February 17, 2017",An unknown number of Wisconsin residents were affected by the breach.,Wisconsin
