"
Organization Name ","
            Date(s) of Breach          ","
Reported Date "
b'\nWhite and Bright Family Dental ',b'\n            n/a          ',b'\n            02/19/2018          '
"b'\nAmerican Stock Transfer & Trust Company, LLC '",b'\n02/01/2018 ',b'\n            02/16/2018          '
b'\nCalifornia Department of Fish and Wildlife ',b'\n            n/a          ',b'\n            02/14/2018          '
"b'\nDriscoll\xe2\x80\x99s, Inc. '","b'\n07/17/2017, 08/18/2017 '",b'\n            02/13/2018          '
b'\nSutter Health ',"b'\n10/11/2017, 10/12/2017 '",b'\n            02/07/2018          '
"b'\nPAR Electrical Contractors, Inc. '",b'\n12/22/2017 ',b'\n            02/05/2018          '
"b""\nRon's Pharmacy Services  """,b'\n10/03/2017 ',b'\n            02/02/2018          '
"b'\nAdvanced Graphic Products, Inc. /dba/ ""Advanced-Online""  '","b'\n04/29/2017, 01/12/2018 '",b'\n            02/02/2018          '
b'\nNevro Corporation ',b'\n11/11/2017 ',b'\n            01/29/2018          '
"b'\nJeffrey Born, CPA, Inc. '",b'\n12/31/2017 ',b'\n            01/26/2018          '
"b'\nSteven Yang, D.D.S., INC. '",b'\n01/06/2018 ',b'\n            01/26/2018          '
"b'\nMember First Mortgage, LLC '","b'\n11/25/2017, 12/21/2017 '",b'\n            01/26/2018          '
"b'\nNational Stores, Inc. '","b'\n07/16/2017, 12/11/2017 '",b'\n            01/22/2018          '
"b'\nMindlance, Inc. '",b'\n12/28/2017 ',b'\n            01/19/2018          '
b'\nRosewood Hotel Group ',"b'\n05/29/2016, 01/11/2017 '",b'\n            01/19/2018          '
b'\nCorovan Corporation ',b'\n09/14/2017 ',b'\n            01/18/2018          '
b'\nEmployer Leasing Company ',"b'\n09/14/2017, 09/18/2018 '",b'\n            01/18/2018          '
b'\nAmerican Golf Corporation ',"b'\n12/12/2017, 12/15/2017 '",b'\n            01/18/2018          '
b'\nPension Fund of the Christian Church (\xe2\x80\x9cPension Fund\xe2\x80\x9d) ',b'\n11/09/2017 ',b'\n            01/16/2018          '
"b'\nGuaranteed Rate, Inc. '","b'\n06/09/2017, 10/02/2017 '",b'\n            01/12/2018          '
b'\nPedes Orange County ',b'\n11/14/2017 ',b'\n            01/12/2018          '
"b""\nDeli Management, Inc. (d/b/a Jason's Deli, Inc.) """,b'\n06/08/2017 ',b'\n            01/11/2018          '
"b'\ntalentReef, Inc. '",b'\n10/16/2017 ',b'\n            01/10/2018          '
"b'\nNHS, INC. '",b'\n12/29/2017 ',b'\n            01/10/2018          '
"b'\nFlagShip Facility Services, Inc. '",b'\n12/05/2017 ',b'\n            01/05/2018          '
b'\nRea.deeming Beauty Inc. d/b/a beautyblender ',"b'\n04/23/2015, 10/26/2017 '",b'\n            01/05/2018          '
b'\nLiveGlam Inc. ',b'\n04/25/2017 ',b'\n            01/03/2018          '
"b'\nForever 21, Inc.  '",b'\n04/03/2017 ',b'\n            12/28/2017          '
"b'\nKaiser Foundation Health Plan, Inc. '",b'\n10/09/2017 ',b'\n            12/28/2017          '
b'\nNextGen Global Resources ',b'\n11/12/2017 ',b'\n            12/28/2017          '
b'\nSAY San Diego ',"b'\n08/01/2017, 10/27/2017 '",b'\n            12/28/2017          '
b'\nCalifornia Department of Corrections and Rehabilitation ',b'\n            n/a          ',b'\n            12/26/2017          '
"b'\nAncestry.com Operations, Inc. '",b'\n            n/a          ',b'\n            12/23/2017          '
b'\nSTANFORD UNIVERSITY ',b'\n            n/a          ',b'\n            12/22/2017          '
"b'\nTIO Networks USA, Inc. and its affiliates on behalf of billers in the attached schedules '",b'\n            n/a          ',b'\n            12/22/2017          '
b'\nAnaheim Majestic Garden Hotel ',"b'\n08/10/2016, 03/09/2017 '",b'\n            12/22/2017          '
b'\nVeyna & Forschino ',"b'\n11/06/2017, 11/24/2017 '",b'\n            12/21/2017          '
b'\nDameron Hospital ',b'\n11/17/2017 ',b'\n            12/21/2017          '
"b""\nChildren's Hospital Los Angeles """,b'\n            n/a          ',b'\n            12/19/2017          '
"b'\nSheldon M. Golden O.D., Optometric Corporation '",b'\n11/06/2017 ',b'\n            12/19/2017          '
"b'\nSheldon M. Golden O.D., Optometric Corporation '",b'\n11/06/2017 ',b'\n            12/19/2017          '
b'\nPinterest ',b'\n11/24/2017 ',b'\n            12/19/2017          '
b'\nDiscover Financial Services ',"b'\n06/02/2016, 10/01/2017 '",b'\n            12/18/2017          '
b'\nSiskiyou Joint Community College District ',b'\n12/13/2017 ',b'\n            12/15/2017          '
b'\nMetLife ',b'\n11/09/2017 ',b'\n            12/15/2017          '
b'\nU-Haul Co. of California  ',b'\n01/10/2017 ',b'\n            12/12/2017          '
b'\nWEI Mortgage LLC ',"b'\n09/13/2017, 09/28/2017 '",b'\n            12/08/2017          '
b'\nNational Capital Poison Center (\xe2\x80\x9cNCPC\xe2\x80\x9d) ',b'\n10/21/2017 ',b'\n            12/08/2017          '
b'\nRehabilitation ',b'\n11/22/2017 ',b'\n            12/07/2017          '
"b'\nKaiser Foundation Health Plan, Inc. '",b'\n11/02/2017 ',b'\n            12/05/2017          '
"b'\nHayden, Narey & Persich '","b'\n07/03/2017, 07/04/2017 '",b'\n            12/05/2017          '
b'\nJAM Paper & Envelope ',"b'\n06/15/2016, 11/06/2017 '",b'\n            12/01/2017          '
b'\nCounty of Humboldt ',b'\n            n/a          ',b'\n            12/01/2017          '
b'\nStanford University ',b'\n09/01/2016 ',b'\n            12/01/2017          '
"b'\nCombat Brands, LLC '","b'\n07/01/2015, 10/06/2017 '",b'\n            11/29/2017          '
"b'\nBulletproof 360, Inc.  '","b'\n10/13/2016, 10/19/2017 '",b'\n            11/27/2017          '
b'\nImgur ',b'\n01/01/2014 ',b'\n            11/24/2017          '
"b'\nUber Technologies, Inc. '","b'\n10/13/2016, 11/15/2016 '",b'\n            11/21/2017          '
b'\nArmor Games Inc. ',"b'\n10/24/2014, 10/24/2017 '",b'\n            11/21/2017          '
b'\nDiscover Financial Services ',b'\n05/01/2015 ',b'\n            11/21/2017          '
"b'\nUSA Hoist Company, Inc., Mid-American Elevator Company, Inc., and Mid-American Elevator Equipment Company, Inc. '",b'\n10/17/2017 ',b'\n            11/20/2017          '
"b'\nBrinderson, L.P. '",b'\n10/24/2017 ',b'\n            11/17/2017          '
b'\nAcademy of Art Unversity dba Stephens Institute ',b'\n11/08/2017 ',b'\n            11/17/2017          '
b'\nClubSport San Ramon and Oakwood Athletic Club ',b'\n07/31/2017 ',b'\n            11/16/2017          '
"b'\nCheddar\xe2\x80\x99s Casual Caf\xc3\xa9, Inc. d/b/a Cheddar\xe2\x80\x99s Scratch Kitchen  '",b'\n07/21/2017 ',b'\n            11/15/2017          '
b'\nFar Niente Winery ',b'\n08/21/2017 ',b'\n            11/15/2017          '
"b'\nCMI Marketing, Inc. d/b/a Cafe Media '",b'\n01/01/2011 ',b'\n            11/15/2017          '
b'\nABM Industries Incorporated ',b'\n07/07/2017 ',b'\n            11/14/2017          '
b'\nBakersfield City School District  ',b'\n11/09/2017 ',b'\n            11/14/2017          '
b'\nLos Angeles County Department of Mental Health (LACDMH) ',b'\n10/24/2017 ',b'\n            11/13/2017          '
b'\nGallagher NAC ',"b'\n06/18/2017, 09/19/2017 '",b'\n            11/13/2017          '
b'\nDignity Health - Mercy San Juan Medical Center ',"b'\n09/08/2017, 09/09/2017, 09/10/2017, 09/11/2017, 09/12/2017 '",b'\n            11/13/2017          '
b'\nGary W Janke ',b'\n09/26/2017 ',b'\n            11/09/2017          '
b'\nKlinger Moving Company ',"b'\n09/14/2017, 09/18/2017 '",b'\n            11/09/2017          '
b'\nChapman University ',b'\n10/17/2017 ',b'\n            11/08/2017          '
"b'\nTween Brands, Inc. '",b'\n            n/a          ',b'\n            11/03/2017          '
b'\nHumanGood ',b'\n09/27/2017 ',b'\n            11/03/2017          '
b'\nKimberly-Clark Corporation ',b'\n10/18/2017 ',b'\n            11/02/2017          '
"b'\nHome Box Office, Inc. '",b'\n05/15/2017 ',b'\n            10/30/2017          '
"b'\nChiorini, Hunt & Jacobs '","b'\n07/01/2017, 09/27/2017 '",b'\n            10/27/2017          '
b'\nThe Union Labor Life Insurance Company ',b'\n06/22/2017 ',b'\n            10/27/2017          '
b'\nALLIANCE FOR COLLEGE-READY PUBLIC SCHOOLS ',b'\n04/04/2017 ',b'\n            10/23/2017          '
b'\nPalomar Health ',b'\n09/27/2017 ',b'\n            10/20/2017          '
b'\nKaiser Permanente Health Plan ',b'\n09/18/2017 ',b'\n            10/20/2017          '
"b'\nWhole Foods Market Services, Inc. '",b'\n03/10/2017 ',b'\n            10/20/2017          '
b'\nDiscover Financial Services ',b'\n06/01/2016 ',b'\n            10/19/2017          '
b'\nDiscover Financial Services ',b'\n04/27/2017 ',b'\n            10/19/2017          '
b'\nSpark Pay Online Store ',"b'\n03/10/2017, 04/10/2017 '",b'\n            10/17/2017          '
"b'\nPizza Hut, Inc.  '","b'\n10/01/2017, 10/02/2017 '",b'\n            10/14/2017          '
"b'\nTransamerica, including Transamerica Life Insurance Company and Transamerica Retirement Solutions, LLC '","b'\n01/03/2017, 08/29/2017 '",b'\n            10/13/2017          '
b'\nHyatt Hotels Corporation ',"b'\n03/18/2017, 07/02/2017 '",b'\n            10/12/2017          '
"b'\nCommunity Family Care Medical Group IPA, Inc '","b'\n02/29/2016, 07/13/2016 '",b'\n            10/12/2017          '
b'\nDroege Computing Servi ces ',b'\n09/26/2017 ',b'\n            10/11/2017          '
b'\nKayser-Roth Corporation ',"b'\n07/01/2017, 08/09/2017 '",b'\n            10/09/2017          '
"b'\nProvo Craft & Novelty, Inc., d/b/a/ Cricut '",b'\n05/27/2017 ',b'\n            10/06/2017          '
b'\nCatholic United Financial  ',b'\n11/12/2016 ',b'\n            10/06/2017          '
b'\nTommie Copper Inc. ',"b'\n04/25/2017, 08/29/2017 '",b'\n            10/06/2017          '
"b'\nSyncHR, Inc. '",b'\n08/23/2017 ',b'\n            10/06/2017          '
b'\nSONIC Corp. ',b'\n            n/a          ',b'\n            10/05/2017          '
b'\nAvanti Markets Inc.  ',b'\n07/04/2017 ',b'\n            10/05/2017          '
b'\nCabrillo Community College District ',b'\n09/04/2017 ',b'\n            10/05/2017          '
"b'\nFlexShopper, LLC '","b'\n08/25/2017, 08/30/2017 '",b'\n            10/03/2017          '
b'\nNorthwestern Mutual Life Insurance Company ',b'\n08/31/2017 ',b'\n            10/03/2017          '
b'\nThe Online Traffic School ',b'\n            n/a          ',b'\n            09/29/2017          '
b'\nFresno Unified School District ',b'\n            n/a          ',b'\n            09/27/2017          '
"b'\nServis One, Inc. dba BSI Financial Services '",b'\n06/01/2017 ',b'\n            09/27/2017          '
b'\nWells Fargo Advisors ',b'\n07/06/2017 ',b'\n            09/26/2017          '
b'\nSprint ',"b'\n05/07/2017, 07/22/2017 '",b'\n            09/20/2017          '
"b'\nW.W. Grainger, Inc. '",b'\n08/23/2017 ',b'\n            09/19/2017          '
"b'\nSignator Investors, Inc. '",b'\n06/08/2017 ',b'\n            09/19/2017          '
b'\nTRUEbenefits LLC ',"b'\n05/18/2017, 05/19/2017 '",b'\n            09/18/2017          '
"b'\nBulletproof 360, Inc. '","b'\n10/26/2016, 08/28/2017 '",b'\n            09/15/2017          '
b'\nE. & J. Gallo Winery ',b'\n08/18/2017 ',b'\n            09/15/2017          '
b'\nThe International Council of Shopping Centers ',"b'\n03/24/2017, 08/18/2017 '",b'\n            09/15/2017          '
"b'\nABB, Inc. '",b'\n08/25/2017 ',b'\n            09/11/2017          '
b'\nCohn Handler Sturm ',b'\n07/29/2017 ',b'\n            09/08/2017          '
b'\nHome Point Financial Corporation ',b'\n            n/a          ',b'\n            09/08/2017          '
b'\nEquifax Inc. ',"b'\n05/13/2017, 07/30/2017 '",b'\n            09/07/2017          '
b'\nSRI International ',b'\n            n/a          ',b'\n            09/07/2017          '
b'\nSixty Hotels ',b'\n03/09/2017 ',b'\n            09/07/2017          '
b'\nCity of Oceanside ',b'\n            n/a          ',b'\n            09/06/2017          '
b'\nCommunity Memorial Health System ',b'\n06/22/2017 ',b'\n            09/05/2017          '
b'\nCBS Consolidated Inc. ',b'\n07/10/2017 ',b'\n            09/05/2017          '
b'\nHand & Upper Extremity Centers dba Hand Rehabilitation Specialists ',b'\n            n/a          ',b'\n            09/01/2017          '
b'\nAkira ',"b'\n11/01/2016, 07/20/2017 '",b'\n            09/01/2017          '
b'\nKaiser Foundation Health Plan ',b'\n08/09/2017 ',b'\n            08/31/2017          '
b'\nMr. Cooper ',b'\n07/05/2017 ',b'\n            08/30/2017          '
b'\nSouth Coast Winery Resort & Spa and Carter Estate Winery Resort ',"b'\n08/10/2016, 03/09/2017 '",b'\n            08/30/2017          '
b'\nWells Fargo Advisors ',b'\n07/06/2017 ',b'\n            08/29/2017          '
b'\nCoreLogic Credco ',"b'\n07/21/2017, 08/07/2017 '",b'\n            08/29/2017          '
b'\nMassachusetts Mutual Life Insurance Company ',b'\n08/17/2017 ',b'\n            08/29/2017          '
b'\nThe Roosevelt Hotel New York ',"b'\n08/10/2016, 03/09/2017 '",b'\n            08/28/2017          '
b'\nThe Bicycle Casino Hotel ',"b'\n08/10/2016, 03/09/2017 '",b'\n            08/28/2017          '
b'\nThe Domain Hotel ',"b'\n08/10/2016, 03/09/2017 '",b'\n            08/28/2017          '
b'\nZazzle Inc. ',b'\n07/30/2017 ',b'\n            08/25/2017          '
b'\nZymo Research Corporation ',b'\n03/15/2017 ',b'\n            08/25/2017          '
"b'\nFRANKLIN R. NOTO, CPA '","b'\n07/27/2017, 07/30/2017 '",b'\n            08/25/2017          '
b'\nSharp Memorial Hospital ',b'\n02/06/2017 ',b'\n            08/25/2017          '
b'\nAimbridge Hospitality Holdings LLC ',"b'\n08/10/2016, 03/09/2017 '",b'\n            08/24/2017          '
b'\nGolden 1 Credit Union ',b'\n08/04/2017 ',b'\n            08/21/2017          '
"b'\nDutch, LLC '","b'\n06/09/2016, 12/25/2016 '",b'\n            08/17/2017          '
b'\nNative Canada Footwear ',b'\n04/28/2015 ',b'\n            08/16/2017          '
b'\nSouth Coast Winery Resort & Spa and Carter Estate Winery Resort ',"b'\n08/10/2017, 03/09/2017 '",b'\n            08/16/2017          '
b'\nDenihan Hospitality ',"b'\n08/10/2016, 03/09/2017 '",b'\n            08/16/2017          '
b'\nPerformant Financial Corporation ',"b'\n01/27/2017, 02/02/2017 '",b'\n            08/14/2017          '
"b'\nPacifica Hotel Management, LLC '","b'\n08/10/2016, 03/09/2017 '",b'\n            08/11/2017          '
b'\nPacific Alliance Medical Center ',b'\n06/14/2017 ',b'\n            08/11/2017          '
"b'\nIntegrated Clark Monroe, LLC, owner of the Hyatt Centric The Loop Chicago '","b'\n09/27/2016, 04/28/2017 '",b'\n            08/07/2017          '
b'\nCity of Hope ',"b'\n05/31/2017, 06/03/2017, 06/05/2017 '",b'\n            08/03/2017          '
b'\nUCLA Summer Sessions & International Education Office ',b'\n            n/a          ',b'\n            07/31/2017          '
"b'\nDelaware North Companies, LLC. '",b'\n            n/a          ',b'\n            07/31/2017          '
b'\nSteel Technology LLC dba Hydro Flask ',b'\n            n/a          ',b'\n            07/28/2017          '
b'\nKimpton Hotels & Restaurants ',"b'\n08/10/2016, 03/09/2017 '",b'\n            07/28/2017          '
b'\nNoble House Hotels & Resorts ',"b'\n08/10/2016, 03/09/2017 '",b'\n            07/28/2017          '
b'\nHamilton Zanze & Company ',b'\n06/29/2017 ',b'\n            07/27/2017          '
"b'\nHilderbrand & Clark, CPA '",b'\n06/14/2017 ',b'\n            07/27/2017          '
b'\nVirgin America ',b'\n            n/a          ',b'\n            07/26/2017          '
b'\nWoodside Hotels and Resorts ',"b'\n08/10/2016, 03/09/2017 '",b'\n            07/26/2017          '
b'\nThe Neiman Marcus Group ',b'\n01/01/2016 ',b'\n            07/26/2017          '
b'\nAvanti Markets Inc. ',"b'\n07/02/2017, 07/04/2017 '",b'\n            07/24/2017          '
"b'\nSBE ENT Holdings, LLC '",b'\n08/10/2016 ',b'\n            07/22/2017          '
b'\nStandard International Management LLC ',"b'\n08/10/2016, 03/09/2017 '",b'\n            07/21/2017          '
b'\nThe Sandman Santa Rosa  ',"b'\n08/10/2016, 03/09/2017 '",b'\n            07/21/2017          '
b'\nPacific Hospitality Group ',"b'\n11/03/2016, 03/09/2017 '",b'\n            07/21/2017          '
"b'\nValue Eyecare Network, Inc. d/b/a 39dollarglasses.com '",b'\n            n/a          ',b'\n            07/21/2017          '
b'\nDiscover Financial Services ',b'\n06/04/2016 ',b'\n            07/21/2017          '
b'\nSydell Partners ',"b'\n08/10/2016, 03/09/2017 '",b'\n            07/21/2017          '
b'\nDiscover Financial Services ',b'\n10/22/2014 ',b'\n            07/21/2017          '
b'\nDiscover Financial Services ',b'\n09/04/2016 ',b'\n            07/21/2017          '
b'\nDiscover Financial Services ',b'\n08/10/2016 ',b'\n            07/21/2017          '
b'\nDiscover Financial Services ',b'\n04/05/2016 ',b'\n            07/21/2017          '
"b'\nKevin J Palmer & Co, CPA '","b'\n05/21/2017, 06/06/2017 '",b'\n            07/20/2017          '
b'\nHathaway-Sycamores Child and Family Services ',b'\n02/03/2017 ',b'\n            07/19/2017          '
"b'\nSportsMem, Inc. '","b'\n10/12/2016, 05/31/2017 '",b'\n            07/18/2017          '
"b'\nKeller Williams Realty, Inc. '","b'\n05/06/2017, 05/10/2017 '",b'\n            07/18/2017          '
"b'\nRemington Lodging & Hospitality, LLC and Affiliates '","b'\n08/10/2016, 03/09/2017 '",b'\n            07/18/2017          '
"b'\nPreferred Hotel Group, Inc. '",b'\n08/10/2017 ',b'\n            07/14/2017          '
"b'\nTwo Roads Hospitality, LLC '","b'\n08/10/2016, 03/09/2017 '",b'\n            07/14/2017          '
b'\nAqua-Aston Hospitality LLC ',"b'\n08/10/2016, 03/09/2017 '",b'\n            07/14/2017          '
b'\nHarvest Bible Chapel d/b/a Walk in the Word Ministries ',"b'\n06/01/2016, 05/30/2017 '",b'\n            07/13/2017          '
b'\nYMCA of San Diego County ',b'\n06/14/2017 ',b'\n            07/12/2017          '
b'\nClub Quarters Hotels ',"b'\n08/10/2016, 03/09/2017 '",b'\n            07/12/2017          '
b'\nLa Quinta Center for Cosmetic Dentistry ',b'\n08/26/2016 ',b'\n            07/12/2017          '
b'\nMovement Mortgage (\xe2\x80\x9cMovement\xe2\x80\x9d) ',"b'\n08/01/2016, 10/01/2016 '",b'\n            07/10/2017          '
"b'\nAndrea Yaley, DDS '",b'\n05/19/2017 ',b'\n            07/10/2017          '
b'\nHard Rock International ',b'\n05/17/2017 ',b'\n            07/07/2017          '
"b'\nReal Estate Business Services, Inc. '","b'\n03/13/2017, 05/15/2017 '",b'\n            07/07/2017          '
b'\nFour Seasons Hotels Limited ',"b'\n08/10/2016, 03/09/2017 '",b'\n            07/06/2017          '
b'\nUniversity of California Davis Health ',b'\n05/17/2017 ',b'\n            07/06/2017          '
b'\nSpark Pay Online Store ',b'\n04/10/2017 ',b'\n            07/06/2017          '
b'\nKayser-Roth Inc. ',"b'\n02/01/2016, 12/31/2016 '",b'\n            07/05/2017          '
b'\nLoews Hotels & Co. ',"b'\n08/29/2016, 03/09/2017 '",b'\n            07/05/2017          '
b'\nWhite Blossom Care Center ',b'\n            n/a          ',b'\n            06/30/2017          '
b'\nMeepos & Company ',"b'\n02/24/2017, 05/19/2017 '",b'\n            06/30/2017          '
b'\nTrump Hotels ',"b'\n08/10/2016, 03/09/2017 '",b'\n            06/30/2017          '
"b'\nState Farm Mutual Automobile Insurance Company, it affiliates and subsidiaries '",b'\n12/30/2016 ',b'\n            06/30/2017          '
"b'\nPaul Stuart, Inc. '",b'\n            n/a          ',b'\n            06/29/2017          '
b'\nGoogle Inc.  ',"b'\n08/10/2016, 03/09/2017 '",b'\n            06/29/2017          '
"b'\nGolfTec Enterprises, LLC '",b'\n03/02/2017 ',b'\n            06/23/2017          '
b'\nDiscover Financial Services ',b'\n07/01/2014 ',b'\n            06/23/2017          '
b'\nDiscover Financial Services ',b'\n09/11/2014 ',b'\n            06/23/2017          '
b'\nDiscover Financial Services ',b'\n04/05/2016 ',b'\n            06/23/2017          '
"b'\nCaliber Home Loans, Inc. '",b'\n01/18/2017 ',b'\n            06/22/2017          '
"b'\nSadd Velazquez Higashi Shammaa, LLP  '","b'\n05/01/2017, 05/02/2017, 05/03/2017 '",b'\n            06/20/2017          '
b'\nHome Point Financial Corporation ',b'\n            n/a          ',b'\n            06/20/2017          '
b'\nTorrance Memorial Medical Center ',"b'\n04/18/2017, 04/19/2017 '",b'\n            06/19/2017          '
b'\nOccidental College ',b'\n06/01/2017 ',b'\n            06/19/2017          '
b'\nBed Bath & Beyond Inc. ',b'\n05/15/2017 ',b'\n            06/19/2017          '
"b'\nJewelry.com, a division of Richline Group, Inc. '","b'\n11/16/2016, 03/23/2017 '",b'\n            06/17/2017          '
"b'\nGracenote, a Nielsen Company '",b'\n05/18/2017 ',b'\n            06/15/2017          '
b'\nWashington State University ',b'\n04/21/2017 ',b'\n            06/09/2017          '
b'\nSMH Enterprises LLC ',b'\n05/30/2017 ',b'\n            06/09/2017          '
"b'\nSelect Restaurants, Inc. '","b'\n10/26/2016, 01/05/2017 '",b'\n            06/09/2017          '
b'\nNorthern Humboldt Union High School District ',b'\n04/17/2017 ',b'\n            06/06/2017          '
"b'\nGameStop, Inc. '",b'\n08/10/2016 ',b'\n            06/05/2017          '
"b'\nFreedom Smokes, Inc. '",b'\n03/07/2017 ',b'\n            06/05/2017          '
b'\nSignature Hardware Inc. ',b'\n04/28/2017 ',b'\n            06/02/2017          '
b'\nBMO Harris Bank N.A. ',b'\n05/15/2017 ',b'\n            05/31/2017          '
"b'\nKeith M. Southwood, CPA, Inc. '",b'\n03/29/2017 ',b'\n            05/31/2017          '
"b'\nFunding Circle USA, Inc. '",b'\n04/27/2017 ',b'\n            05/30/2017          '
b'\nDa Vinci Schools ',b'\n04/04/2017 ',b'\n            05/30/2017          '
b'\nWiseburn Unified School District ',b'\n04/04/2017 ',b'\n            05/30/2017          '
b'\nFastHealth Corporation ',"b'\n01/14/2016, 12/20/2016 '",b'\n            05/26/2017          '
"b'\nChipotle Mexican Grill, Inc. '","b'\n03/24/2014, 04/18/2017 '",b'\n            05/26/2017          '
"b'\nAllrecipes.com, Inc. '",b'\n            n/a          ',b'\n            05/25/2017          '
"b'\nChar-Broil, LLC '","b'\n03/22/2017, 04/21/2017 '",b'\n            05/25/2017          '
b'\nBank of the West ',"b'\n02/01/2017, 04/09/2017 '",b'\n            05/24/2017          '
"b'\nIncipio, LLC '",b'\n02/26/2016 ',b'\n            05/23/2017          '
"b'\nTALX Corporation, a wholly owned subsidiary of Equifax, Inc. '","b'\n01/04/2016, 03/29/2017 '",b'\n            05/23/2017          '
"b'\nMichael T. Blevins, Inc. '",b'\n03/26/2017 ',b'\n            05/20/2017          '
b'\nMt. Diablo Unified School District ',b'\n04/27/2017 ',b'\n            05/19/2017          '
b'\nHSX.com ',b'\n            n/a          ',b'\n            05/18/2017          '
"b'\nRite Aid Online Store, Inc. '","b'\n01/30/2017, 04/11/2017 '",b'\n            05/17/2017          '
b'\nDiscover Financial Services ',b'\n11/24/2015 ',b'\n            05/17/2017          '
b'\nEquitable Tax Service ',b'\n03/16/2017 ',b'\n            05/16/2017          '
"b'\nNicopure Labs, LLC '",b'\n            n/a          ',b'\n            05/16/2017          '
"b'\nTatcha, LLC '",b'\n01/08/2017 ',b'\n            05/16/2017          '
b'\nThe University of New Mexico Foundation  ',b'\n02/16/2017 ',b'\n            05/15/2017          '
b'\nKURU Footwear  ',"b'\n12/20/2016, 03/03/2017 '",b'\n            05/15/2017          '
b'\nTripAdvisor LLC ',b'\n            n/a          ',b'\n            05/15/2017          '
b'\nIndigo Wild ',b'\n04/17/2017 ',b'\n            05/15/2017          '
"b""\nD'Angelo & Associates, APC ""","b'\n03/25/2017, 03/26/2017, 03/27/2017, 03/28/2017, 03/29/2017, 03/30/2017, 03/31/2017, 04/01/2017, 04/02/2017, 04/03/2017, 04/04/2017, 04/12/2017, 04/13/2017, 04/14/2017, 04/15/2017 '",b'\n            05/12/2017          '
b'\nBrooks Brothers ',"b'\n04/04/2016, 03/01/2017 '",b'\n            05/12/2017          '
"b'\nGenpact International, Inc. '",b'\n01/12/2017 ',b'\n            05/08/2017          '
"b'\nRM Acquisition, LLC d/b/a Rand McNally '","b'\n04/12/2017, 03/02/2017 '",b'\n            05/05/2017          '
b'\nAgri Beef Co.  ',b'\n11/22/2016 ',b'\n            05/04/2017          '
"b'\nZinc Auto Finance, Inc '",b'\n            n/a          ',b'\n            05/03/2017          '
"b'\nMSA Accounting CPA, Professional Corp. '",b'\n            n/a          ',b'\n            05/02/2017          '
"b'\nMcdavid, Inc. '","b'\n09/05/2017, 11/11/2017 '",b'\n            05/02/2017          '
b'\nPalo Alto Unified School District ',b'\n04/04/2017 ',b'\n            05/01/2017          '
"b'\nGannett Company, Inc '",b'\n03/28/2017 ',b'\n            04/28/2017          '
"b'\nAptos, Inc. on behalf of Retailers in Attached Addendum '",b'\n            n/a          ',b'\n            04/28/2017          '
"b'\nExtreme Reach, Inc. '",b'\n02/08/2017 ',b'\n            04/28/2017          '
b'\nLos Angeles City Employees Retirement System ',b'\n04/05/2017 ',b'\n            04/24/2017          '
b'\nILKB LLC ',"b'\n10/01/2016, 01/10/2017 '",b'\n            04/24/2017          '
b'\nCampbell Union High School District ',b'\n04/03/2017 ',b'\n            04/20/2017          '
b'\nNorthrop Grumman Systems Corporation ',"b'\n04/18/2016, 03/29/2017 '",b'\n            04/19/2017          '
"b'\nCombat Brands, LLC '",b'\n07/01/2015 ',b'\n            04/17/2017          '
"b'\nDLD Accountancy, LLP  '",b'\n03/03/2017 ',b'\n            04/17/2017          '
"b'\nJack Anthony Industries, Inc '","b'\n02/06/2017, 02/07/2017, 02/08/2017, 02/09/2017, 02/10/2017, 02/11/2017, 02/12/2017, 02/13/2017, 02/14/2017, 02/15/2017, 02/16/2017, 02/17/2017, 02/18/2017, 02/19/2017, 02/20/2017, 02/22/2017, 02/23/2017, 02/21/2017 '",b'\n            04/14/2017          '
b'\nThe Neiman Marcus Group ',b'\n12/26/2015 ',b'\n            04/14/2017          '
"b'\nSix Continents Hotels, Inc. (d/b/a InterContinental Hotels Group) '",b'\n09/29/2016 ',b'\n            04/14/2017          '
b'\nWestlake Touchless Car Wash ',b'\n02/06/2017 ',b'\n            04/14/2017          '
b'\nDelta Career Education Corporation ',b'\n02/13/2017 ',b'\n            04/14/2017          '
b'\nAlamo Capital ',b'\n03/14/2017 ',b'\n            04/13/2017          '
"b'\nBluestem Brands, Inc. '",b'\n04/07/2017 ',b'\n            04/13/2017          '
b'\nAcme Car Wash and Clearwater Express ',"b'\n02/06/2017, 02/07/2017, 02/08/2017, 02/09/2017, 02/10/2017, 02/11/2017, 02/12/2017, 02/13/2017, 02/14/2017, 02/15/2017, 02/16/2017, 03/17/2017, 02/18/2017, 02/19/2017, 02/20/2017, 02/21/2017, 02/22/2017, 02/23/2017 '",b'\n            04/10/2017          '
b'\nWildWater Express Carwash ',b'\n02/10/2017 ',b'\n            04/10/2017          '
b'\nEdgar & Associates LLP ',"b'\n04/01/2016, 04/02/2016, 09/28/2016, 11/03/2016 '",b'\n            04/06/2017          '
b'\nAuto Pride Car Wash ',"b'\n02/11/2017, 02/27/2017 '",b'\n            04/04/2017          '
"b'\nAptos, Inc. on behalf of Retailers in the Attached Addendum '",b'\n            n/a          ',b'\n            04/04/2017          '
b'\nShowTix4U ',"b'\n12/11/2016, 02/02/2017 '",b'\n            03/29/2017          '
"b'\nQuench USA, Inc '",b'\n02/10/2017 ',b'\n            03/29/2017          '
